# TEMPLATE PROGRAMMA — Grest 2026
# Compila le righe sotto. Non modificare le righe che iniziano con #
# SETTIMANE DISPONIBILI (usa il numero nella colonna settimana):
#   Settimana 1 (2026-06-09 → 2026-06-12)
#   Settimana 2 (2026-06-15 → 2026-06-19)
#   Settimana 3 (2026-06-22 → 2026-06-26)
#   Settimana 4 (2026-06-29 → 2026-07-03)
# SQUADRE DISPONIBILI (copia il nome esatto nella colonna squadra):
#   Arancioni
#   Azzurri
#   Blu
#   Fucsia
#   Gialli Grest
#   Grigi
#   Neri
#   Rosa antico
#   Rossi
#   Turchesi
#   Verdi Fluo
#   Verdi lime
#   Verdi oliva
#   Verdi scuro
#   Viola
# ATTIVITÀ DISPONIBILI (copia il nome esatto nella colonna attivita):
#   Accoglienza 🫂
#   Angelus 🙏
#   Attività in esterna 🎭
#   Compiti e studio 📚
#   Conclusione attività 👋
#   Giochi 🏀
#   Giochi sport 🏅
#   Gioco 🧩
#   Gita 🚀
#   Intrattenimento 🎉
#   Laboratorio 🥫
#   Laboratorio creativo 🎨
#   Merenda 🥨
#   Parco acquatico 🌊
#   Post-Oratorio 🌆
#   Pranzo - preghiera 🙏
#   pranzo - preghiera - tempo libero
#   Pre-oratorio 🍱
#   Tempo Libero 🆓
#   Uscita 📤
# Se l'attività non è presente verrà creata automaticamente
# GIORNI: Lunedi | Martedi | Mercoledi | Giovedi | Venerdi
squadra;settimana;giorno;attivita;ora_inizio;ora_fine;note
Arancioni;1;Lunedi;Pre-oratorio 🍱;7:30;8:30;
Arancioni;1;Lunedi;Accoglienza 🫂;8:30;9:30;
Arancioni;1;Lunedi;Parco acquatico 🌊;9:30;10:30;
Arancioni;1;Lunedi;Merenda 🥨;10:30;10:45;
Arancioni;1;Lunedi;Parco acquatico 🌊;10:45;11:30;
Arancioni;1;Lunedi;Angelus 🙏;11:35;11:40;
Arancioni;1;Lunedi;pranzo - preghiera - tempo libero;11:45;14:05;
Arancioni;1;Lunedi;Gioco 🧩;15:00;16:00;
Arancioni;1;Lunedi;Merenda 🥨;16:00;16:25;
Arancioni;1;Lunedi;Conclusione attività 👋;16:30;17:00;
Arancioni;1;Lunedi;Uscita 📤;17:00;17:15;
Arancioni;1;Lunedi;Post-Oratorio 🌆;17:15;18:00;
Arancioni;1;Martedi;Pre-oratorio 🍱;7:30;8:30;
Arancioni;1;Martedi;Accoglienza 🫂;8:30;9:30;
Arancioni;1;Martedi;Laboratorio 🥫;9:30;10:30;
Arancioni;1;Martedi;Merenda 🥨;10:30;10:45;
Arancioni;1;Martedi;Compiti e studio 📚;10:50;11:30;
Arancioni;1;Martedi;Angelus 🙏;11:35;11:40;
Arancioni;1;Martedi;pranzo - preghiera - tempo libero;11:45;14:05;
Arancioni;1;Martedi;Gioco 🧩;15:00;16:00;
Arancioni;1;Martedi;Merenda 🥨;16:00;16:25;
Arancioni;1;Martedi;Conclusione attività 👋;16:30;17:00;
Arancioni;1;Martedi;Uscita 📤;17:00;17:15;
Arancioni;1;Martedi;Post-Oratorio 🌆;17:15;18:00;
